id,pkg,func
844,shared,(*go/types.TypeName).setParent
991,shared,(*go/types.Func).Type
1029,time,(time.Time).Equal
73,go/parser,go/parser.init
233,github.com/picatz/taint/cmd/ssadump,github.com/picatz/taint/cmd/ssadump.main$1
392,net/http,(net/http.Header).WriteSubset
670,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).applyMargins
797,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.PathsSearchCallToAdvancedAllNodes
828,go/types,(go/types.termlist).String
1092,shared,(*github.com/muesli/termenv.Output).foregroundColor
1289,time,(time.Time).String
302,shared,(*go/types.TypeAndValue).IsValue
640,shared,(*golang.org/x/tools/go/ssa.register).Parent
815,shared,(*go/types.termlist).union
817,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetBorderForeground
1207,shared,(*net/textproto.MIMEHeader).Get
1213,shared,(*golang.org/x/tools/go/ssa.Alloc).Name
6,time,(time.Time).absSec
160,shared,(*github.com/charmbracelet/lipgloss.Style).GetVerticalPadding
456,shared,(*github.com/charmbracelet/lipgloss.Style).GetBorderLeftBackground
464,shared,(*github.com/muesli/termenv.Output).SetForegroundColor
692,github.com/muesli/termenv,(github.com/muesli/termenv.Output).SaveCursorPosition
935,github.com/muesli/termenv,(github.com/muesli/termenv.Output).Write
74,go/token,go/token.init
154,github.com/picatz/taint/cmd/taint,(*github.com/picatz/taint/cmd/taint.command).help
318,net/url,net/url.init
732,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).BorderRightBackground
923,internal/poll,(*internal/poll.SysFile).init
1255,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetPaddingRight
1412,shared,(*go/types.Label).Type
276,shared,(*go/types.Label).Id
512,shared,(*time.Time).Minute
781,shared,(*github.com/charmbracelet/lipgloss.Style).Transform
865,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.InstructionsFor
1410,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetColorWhitespace
1472,shared,(*github.com/muesli/termenv.Output).AltScreen
443,shared,(*go/types.PkgName).scopePos
36,shared,(*github.com/charmbracelet/lipgloss.Style).GetMarginBottom
598,github.com/picatz/taint/cmd/taint/example,github.com/picatz/taint/cmd/taint/example.business
1133,shared,(*go/types.Var).Exported
1256,shared,(*golang.org/x/tools/go/ssa.FieldAddr).setType
1474,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.init$5
81,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.ParseMatchStrategy
303,go/types,(go/types.TypeAndValue).IsValue
725,golang.org/x/tools/go/types/typeutil,(golang.org/x/tools/go/types/typeutil.Hasher).Hash
1113,github.com/picatz/taint/callgraphutil,(*github.com/picatz/taint/callgraphutil.Logger).Progress
1476,shared,(*math/big.nat).scan
96,golang.org/x/tools/go/callgraph/cha,golang.org/x/tools/go/callgraph/cha.init
960,shared,(*github.com/charmbracelet/lipgloss.Border).GetLeftSize
1176,shared,(*math/big.nat).random
1288,shared,(*time.Time).String
17,github.com/picatz/taint/cmd/taint,(github.com/picatz/taint/cmd/taint.commands).eval
195,shared,(*crypto/x509/pkix.Name).ToRDNSequence
232,strings,strings.HasPrefix
371,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetColorWhitespace
411,shared,(*go/constant.Kind).String
719,shared,(*time.Time).Unix
1057,strings,strings.TrimSuffix
1409,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).BorderBottomForeground
200,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).MarginTop
203,shared,(*time.absYday).yday
291,shared,(*github.com/muesli/termenv.Output).EnableMouse
672,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).UnsetTabWidth
1417,math/big,(math/big.nat).isPow2
1480,shared,(*github.com/charmbracelet/lipgloss.Style).UnderlineSpaces
1506,github.com/picatz/taint/callgraphutil,github.com/picatz/taint/callgraphutil.WriteCosmograph
628,shared,(*math/big.nat).probablyPrimeMillerRabin
770,shared,(*golang.org/x/tools/go/ssa.FieldAddr).Pos
839,bytes,(*bytes.Buffer).WriteString
1027,shared,(io.Writer).Write
489,crypto/x509,(crypto/x509.OID).Equal
1111,math/big,(math/big.nat).setBit
1418,regexp,regexp.Compile
78,golang.org/x/tools/go/ssa,golang.org/x/tools/go/ssa.init
738,shared,(*github.com/charmbracelet/lipgloss.Style).UnsetMaxWidth
1035,go/types,(go/types.TypeAndValue).IsVoid
1058,strings,strings.LastIndex
687,runtime,runtime.Version
780,github.com/charmbracelet/lipgloss,(github.com/charmbracelet/lipgloss.Style).GetStrikethrough
912,shared,(*crypto/x509.ExtKeyUsage).String
956,github.com/picatz/taint/cmd/taint,github.com/picatz/taint/cmd/taint.initStyles
1128,shared,(*github.com/charmbracelet/lipgloss.Style).GetBackground
19,time,(time.Time).appendFormat
473,shared,(context.Context).Err
883,time,(time.Time).AppendFormat
